DIVISION_RANK, DIVISION
14,M1G1
13,M1G2
12,M1G3
11,M2G1
10,M2G2
9,M2G3
8,M2G4
7,C1G1
6,C1G2
5,C1G3
4,C1G4
3,C1G5
2,C2G1
1,C2G2
0,C2G3
